LOD entries,Base forms,Grammatical category
A1,A,neutral noun
AARBECHT1,Aarbecht,feminine noun
AARBECHTER1,Aarbechter,masculine noun
AARBECHTERIN1,Aarbechterin,feminine noun
AARBECHTSKOLLEEG1,Aarbechtskolleeg,masculine noun
AARBECHTSKOLLEEGIN1,Aarbechtskolleegin,feminine noun
ABRELL1,Abrëll,masculine noun
ADDI2,äddi,interjection
ADMINISTRATIV1,administrativ,adjective
ADRESS1,Adress,feminine noun
AERDBIER1,Äerdbier,feminine/neutral noun
AERDBIER2,Äerdbier,neutral noun
AEROBIC1,Aerobic,masculine noun
AFFEKOT1,Affekot,masculine noun
AFFEKOTIN1,Affekotin,feminine noun
AKAFEN1,akafen,verb
AKAFSLESCHT1,Akafslëscht,feminine noun
AL1,al,adjective
ALL2,all,indefinite pronoun
ALLEN1,allen,indefinite pronoun
ALLES1,alles,indefinite pronoun
ALS1,als,conjunction
ALSO1,also,adverb
ALT2,alt,particle
ALTERSHEEM1,Altersheem,neutral noun
AM1,am,
AMESEIEREN1,ameséieren,verb
AN2,an,conjunction
AN3,an,preposition
ANANAS1,Ananas,masculine/feminine noun
ANER1,aner,indefinite pronoun
ANEREN1,aneren,indefinite pronoun
ANIMATIOUN1,Animatioun,feminine noun
ANNERHALLEF1,annerhallef,adjective
APDIKT1,Apdikt,feminine noun
APDIKTER1,Apdikter,masculine noun
APDIKTESCH1,Apdiktesch,feminine noun
APEL1,Apel,masculine noun
APPELTASCH1,Äppeltäsch,feminine noun
APRIKOS1,Aprikos,feminine noun
ARCHITEKT1,Architekt,masculine noun
ARCHITEKTIN1,Architektin,feminine noun
ATTRAKTIOUN1,Attraktioun,feminine noun
AUBERGINE2,Aubergine,feminine noun
AUER1,Auer,feminine noun
AUGUST1,August,masculine noun
AUS2,aus,preposition
AUSFLUCH1,Ausfluch,masculine noun
AUSLAND1,Ausland,neutral noun
AUSSER1,ausser,conjunction
AUSSER2,ausser,preposition
AUTO1,Auto,masculine noun
AWAR1,Awar,masculine noun
AWER1,awer,adverb
AWER2,awer,conjunction
AWER3,awer,particle
AWUER1,Awuer,masculine noun
AWUNNER1,Awunner,masculine noun
AWUNNERIN1,Awunnerin,feminine noun
BAART1,Baart,masculine noun
BABYSITTER1,Babysitter,masculine noun
BABYSITTERIN1,Babysitterin,feminine noun
BACKER1,Bäcker,masculine noun
BACKEREI1,Bäckerei,feminine noun
BACKESCH1,Bäckesch,feminine noun
BAGUETTE1,Baguette,feminine noun
BAKEN1,baken,verb
BANANN1,Banann,feminine noun
BAND4,Band,feminine noun
BANK1,Bank,feminine noun
BASILIKA1,Basilika,feminine noun
BASKET1,Basket,masculine noun
BASTELEN1,bastelen,verb
BAUCH1,Bauch,masculine noun
BAUER1,Bauer,masculine noun
BAUEREFRA1,Bauerefra,feminine noun
BECHS1,Béchs,feminine noun
BEDECKT1,bedeckt,adjective
BEI2,bei,preposition
BEIM1,beim,
BEIS1,béis,adjective
BEISPILL1,Beispill,neutral noun
